brand	manufacturers_id	name	description	room_image_url	warranty
Better-Aurora	1	Riviera	" The sandy beaches of the Riviera inspire this festive pattern. Its 7.2"" tile layout features a lush, nostalgic patina, varied play of color, and rustic texture. This incredibly diverse design will embrace any room in the household. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/riviera.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Revolutions Plank	2	Brazilian Cherry	" Revolutions Plank, with NatureForm Optix technology, micro-beveling and narrow 5"" widths, combines the look and feel of natural wood with the performance of laminate. "	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26540_BrazilianCherryRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Exotics	3	Acacia Atlantis	"The Atlantis collection of hand stained hardwoods offers four exotic style perfect for today's sophisticated home. Royal Mahogany and Acacia are hand sculpted for added texture, while Sapele and Imperial Tigerwood are finished for a smooth, antique look."	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NE05BL1_AcaciaRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Exotics	4	Atlantis Prestige Tigerwood	" The unique styling and design of Mannington's new Atlantis Prestige collection of hardwood floors unlocks the mysterious beauty contained in its five exotic species, and helps homeowners create a tropical oasis in any room. In Natural, a bold, but not overly aggressive, grain lets the beauty of Tigerwood take center stage. "	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NET05NA1_TigerwoodRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Hand Crafted	5	Kings Grove Hickory Inverness	" With old world charm and an ultramodern finish, each Inverness board is carefully hand sculpted and hand glazed to bring out the wood's natural grain and beauty. Planed edges, splits and scrapes recreate the timeless character of century-old floors, while the industry's most advanced finishing technologies enhance and protect those award-winning looks for years to come. "	http://www.mannington.com:80	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Better-Aurora	6	Maderia	 Maderia is a beautiful display of texture and color inspired by the multi-hued beach fronts of the Atlantic Ocean. Maderia's soft sandy surface texture and unique tonal variation make it a versatile choice for any home decor. 	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41272_MaderiaRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Revolutions Plank	7	Heritage Cherry	" Revolutions Plank, with NatureForm Optix technology, micro-beveling and narrow 5"" widths, combines the look and feel of natural wood with the performance of laminate. "	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26701_HeritageCherryRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Opera	8	Opera	" Your decor will sing with the refined beauty of Opera porcelain tile. Available in a functional size and essential colors, Opera harmonizes perfectly with any decor. "	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Opera/OP1T13_OPERARS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Value Lock Collection	9	Natural Centerville Oak	 Mannington's Value Lock Collection allows for a variety of classic and trendy wood visuals to come to life in any room. This Laminate collection gives the budget conscious consumer the great styling and product associated with the Mannington brand. 	http://www.mannington.com:80	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Coordinations	10	Honey Canterbury Oak	"The Oak pattern Honey, has the inviting look of traditional oak floor complete with raised graining texture."	http://www.mannington.com:80	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Coordinations	11	Natural Somerset Oak	"The Oak pattern in Natural, has the inviting look of traditional oak floor complete with raised graining texture."	http://www.mannington.com:80	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Adura Plank	12	Canadian Maple	 This clean natural Maple has a subtle varying texture from plank to plank. Canadian Maple is traditional but has a casual feel that will compliment a wide range of today’s popular home fashion looks. 	http://www.mannington.com:80/~/media/Images/Product/Adura/LuxuryPlank/AW501_CANADIANMAPLERS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Best-Realistique	13	Napoli	" Reminiscent of ancient roman architecture, this 12 honed Italian marble captures the realism of historic materials. Napoli features a subtle surface texture, chiseled edges, and an unexpected play of color that can add a classic sophistication to any household. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Realistique/97002_NapoliRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Revolutions Plank Diamond Bay	14	Himalayan Cedar	" Himalayan Cedar, a 5"" wide plank pattern, captures all the rich warmth and beauty found in cedar. It's subtle chatter marks with deep graining easily creates a backdrop to any room. "	http://www.mannington.com:80/~/media/Images/Product/Laminate/Diamond Bay/26851HimalayanCedarTawnyRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Hand Crafted	15	Inverness Stonehenge Walnut	"The distinctive whitewashed finish on this floor is brought to life with hand-planed details, glazed edges, and drybrushed accents. In either Alabaster or Iron Gate, this floor is uniquely Mannington."	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/IVS05AB1_StonehengeWalnutRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Coordinations	16	Autumn Meridian Cherry	"Autumn Meridian Cherry, a light, yellow-toned wood perfectly suited for use with lighter cherry cabinetry."	http://www.mannington.com:80/~/media/Images/Product/Laminate/Coordinations/56015L_AutumnMeridianCherry.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Hand Crafted	17	Ravenwood Birch	" Best described as a refined Rustic, Ravenwood is a hardwood floor with a scraped and dry brushed finish. Its beautiful underglow is sure to bright any to life. http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/RB05RW1_Ravenwood_Birch_Redwood_RS.ashx"	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"	
