brand	manufacturers_id	name	description	room_image_url	fiber	texture	warranty
Ambassador	5	Alondra	"This luxurious, simple cut and loop wool carpet brings understated elegance throughout the home. Kara-loc woven for long-lasting performance, it features several soft neutral colorways to create your distinctive look.<br /><br /><strong>Surface Texture: </strong>Cut & Loop Woven Kara-Loc<br /><strong>Pattern Repeat: </strong>.40"" W x .42"" L<br /><strong>Number of Colors: </strong>13<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41279_Alondra	Wool	Cut & Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	7	Anatole	"This graceful scroll design has plenty of curve appeal. Its high style is Wilton woven of 100% polypropylene, which assures great performance and superior value. Carry this classy act throughout the home with a coordinating continuous runner that shares an inviting color palette.<br /><br /><strong>Surface Texture: </strong>Textured Cut Pile<br /><strong>Pattern Repeat: </strong>Width 19.7"", Length 43.3""<br /><strong>Number of Colors: </strong>6<br /><strong>Width: </strong>13'1""<br /><strong>Fiber:</strong> 100% Polypropylene<div><br /></div><div></div>"	http://s7d5.scene7.com/is/image/Karastan/41524_Anatole	Synthetic	Cut Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Mfg. Defects</a></li><li><a href=""warranties/25YearAbrasiveWear.pdf"">25 Yr. Ltd. Abrasive Wear</a></li><li><a href=""warranties/25YearStainResistance.pdf"">25 Yr. Ltd. Stain Resistance</a></li><LI>Engineered for Superior Resistance to Static</li>"
Ambassador	8	Ardington	"This space-dyed, cut and loop ribbed texture creates visual excitement. Karastan heightens the drama of this fun, yet versatile offering by weaving it in two-color combinations of tonal and contrasting hues. Crafted of 100% New Zealand wool to lend softness, durability, and lasting beauty to a composition that defies convention.<br /><br /><strong>Surface Texture: </strong>Woven Cut & Loop<br /><strong>Pattern Repeat: </strong>Width .40"", Length .10""<br /><strong>Number of Colors: </strong>8<br /><strong>Width: </strong>12 ft<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41555_Ardington	Wool	Cut & Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	9	Axminster Broadloom - Multicolor Panel Kirman	"Spread the beauty of Karastan in your home. Take one of the most popular designs from the Original Karastan Collection of rugs and use it in a wall-to-wall installation. This engaging floral design is complex: large rounded florettes arranged between star-like lobed medallions; vines connecting diagonal leaves and ending in lily-like forked blossoms. Soft, muted colors complement almost any decor. This incomparable carpet is woven through the back on Karastan's exclusive Axminster looms and features only the finest imported worsted wool yarns, skein-dyed and Lustre-Washed for enduring beauty. Also available: Axminster borders to be used with our Axminster broadlooms. All of our Axminster broadloom carpets coordinate with rugs and runners in our famous Original Karastan Collection rug line. Be sure to see your sales associate for details.<br /><br /><strong>Surface Texture: </strong>Axminster Broadloom<br /><strong>Pattern Repeat: </strong>69"" W x 108"" L<br /><strong>Number of Colors: </strong>1<br /><strong>Width: </strong>11'6""<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/B717B_MulticolorPanelKirman	Wool	Cut Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	12	Bergeron	"A small-scale pattern of two-tone checks marches it way into today's style. Not one to look back, this woven pattern forges ahead in eco-friendly New Zealand wool, proving that carpet can be more than environmentally chicâ€”it can clean easily and age gracefully. With Karastan leading the way, woven wool carpet makes it hip to be green.<br /><br /><strong>Surface Texture: </strong>Berbers/Loop Piles<br /><strong>Pattern Repeat: </strong>Width .40"", Length .59""<br /><strong>Number of Colors: </strong>13<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41508_Bergeron	Wool	Berbers/Loop Piles	
Ambassador	14	Berwick Tweed	"This stylishly innovative carpet pairs seeming opposites: up-to-the-minute fashion daring and comfortable familiarity. Crafted of 100% pure New Zealand wool in a woven cut and loop construction, it is warmly evocative of a classic tweed jacket-never giving away its age, yet ever maintaining its position as a front-of-the-closet favorite. <br /><br /><strong>Surface Texture: </strong>Cut &amp; Loop Woven Kara-Loc<br /><strong>Pattern Repeat: </strong>12&quot; W x 2.44&quot; L<br /><strong>Number of Colors: </strong>8<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41216_BerwickTweed	Wool	Cut & Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	16	Bixby	"Karastan captures the appeal of the eclectic and the allure of the exotic. This small-scale pattern offers a hint of Asian character that intrigues the visual senses. Woven of New Zealand wool, it will charm you with its softness, quality, and performance as well as its distinctive look.<br /><br /><strong>Surface Texture: </strong>Textured Cut Pile<br /><strong>Pattern Repeat: </strong>Width 39.36"", Length 56.76""<br /><strong>Number of Colors: </strong>6<br /><strong>Width: </strong>13'2""<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41542_Bixby	Wool	Cut Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	17	Bonaire II	"Karastan has taken one of the best trellis designs in America and improved it with updated colors perfect for decorating today's homes. Woven of 100% pure New Zealand wool, it is as high performing and comfortable as it is stylish. Featuring 16 soft shades that are sure to add exciting drama to any interior space.<br /><br /><strong>Surface Texture: </strong>Cut & Loop, Tip Shear Kara-Loc<br /><strong>Pattern Repeat: </strong>4"" W x 2.5"" L<br /><strong>Number of Colors: </strong>16<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41262_BonaireII	Wool	Cut & Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	18	Bungalo	"Inspired by a long tradition of complementary Kara-loc woven styles crafted of 100% pure New Zealand wool, this cable boucle warms the home and the heart. It is made of two separately colored wool yarns in several casual colors and creates visual interest in rustic, yet tailored, interiors. It distinguishes itself in style, softness, and durability. This woven wool wonder can take whatever your family dishes out. <br /><br /><strong>Surface Texture: </strong>Cut & Loop Woven Kara-Loc<br /><strong>Pattern Repeat: </strong>.40"" W x .57"" L<br /><strong>Number of Colors: </strong>12<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41237_Bungalo	Wool	Cut & Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	21	Cabo Del Sol	"Draw the line on dramatic fashion with this fun style inspired by decorative prints. Woven of 100% pure New Zealand wool on Kara-loc looms, it makes a bold statement in color, comfort, and performance.<br /><br /><strong>Surface Texture: </strong>All Loop Woven Kara-loc<br /><strong>Pattern Repeat: </strong>4.00"" W x .11"" L<br /><strong>Number of Colors: </strong>7<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41257_CaboDelSol	Wool	Berbers/Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	23	Capsilon	"A tasteful display of random stripes play across a cut pile field. Its linear design is colorfully patterned in multiple shades inspired by the changing seasons. New Zealand wool softens the touch and preserves the beauty of this distinctive carpet so it can be enjoyed for years to come.<br /><br /><strong>Surface Texture: </strong>Textured Cut Pile<br /><strong>Pattern Repeat: </strong>Width 39.36"", Length 37.8""<br /><strong>Number of Colors: </strong>1<br /><strong>Width: </strong>13'2""<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41538_Capsilon	Wool	Cut Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	26	Castellane	"Soft colors pair with the cozy feel of New Zealand wool to create a carpet that epitomizes comfort. Different values of blue, green, gold, and rust flow like watercolors across its cut pile texture. The tranquil combination creates an environment that soothes and inspires.<br /><br /><strong>Surface Texture: </strong>Textured Cut Pile<br /><strong>Pattern Repeat: </strong>Width .10"", Length .10""<br /><strong>Number of Colors: </strong>9<br /><strong>Width: </strong>13'2""<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41534_Castellane	Wool	Cut Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	34	Cobble Hill	"Performance, durability, and beauty are all woven together to create the perfect carpet for any d&eacute;cor. A distinctive design made by our patented Kara-loc looms is just half the story. The rest is about how woven construction and Fiber content&mdash;a wool/acrylic blend&mdash;come together to produce one of the most durable carpets on the market today.<br /><br /><strong>Surface Texture: </strong>Loop Pile<br /><strong>Pattern Repeat: </strong>18&quot; W x 31.1&quot; L<br /><strong>Number of Colors: </strong>11<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool/Acrylic Blend<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41097_CobbleHill	Wool/Acrylic Blend	Berbers/Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	36	Cobble Road	"This multi-level textured loop balances performance and classic styling. It is made of a special blend of 55% wool and 45% acrylic to capture the richness and softness of wool and the resiliency of acrylic in one beautiful style. Woven on our patented Kara-loc looms, this beauty offers distinctive styling and years of durable wear and easy-care service. It is treated with Kara-Guard, our exclusive treatment to resist soiling. <br /><br /><strong>Surface Texture: </strong>Loop Pile<br /><strong>Pattern Repeat: </strong>18.0&quot; W x 14.5&quot; L<br /><strong>Number of Colors: </strong>10<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool/Acrylic Blend<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41098_CobbleRoad	Wool/Acrylic Blend	Berbers/Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	37	Consuelo	"This distinct patterned tip-shear product is unlike any other in the Karastan woven wool line. The botanical, flowing vine pattern brings the simplicity and calmness of nature indoors. Crafted on Kara-loc looms using luxurious 100% New Zealand wool, this long-lasting beauty is available in 13 soft tinted neutral colorways.<br /><br /><strong>Surface Texture: </strong>Cut &amp; Loop, Tip Shear Kara-Loc<br /><strong>Pattern Repeat: </strong>18&quot; W x 16.67&quot; L<br /><strong>Number of Colors: </strong>13<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41278_Consuelo	Wool	Cut & Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	39	Corvera	"In 1992, Karastan made product history when we introduced a collection of tailored wool patterns that captivated consumers from coast to coast. The carpets were woven with random textural variations to more closely replicate the finish of authentic sisals. They were an instant hit, and their popularity continues to grow today. This all loop pattern is one of those popular styles. It is woven through the back of 100% pure New Zealand wool for incredible softness, long-lasting performance, and appearance retention. It comes in a palette of nature-inspired shades that are perfect for contemporary and transitional interiors.<br /><br /><strong>Surface Texture: </strong>All Loop Woven Kara-loc<br /><strong>Pattern Repeat: </strong>.4&quot; W x .125&quot; L<br /><strong>Number of Colors: </strong>9<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41203_Corvera	Wool	Berbers/Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	40	Coventry Trellis	"Imagine a trellis in an English garden: classic, distinctive, refined. Fields of red, green, gold, black, and antique are randomly striated, providing a rich canvas for this elegant trellis pattern. Karastan meticulously weaves this beauty on Wilton looms using 100% pure New Zealand wool for luxurious comfort and exceptional durability.<br /><br /><strong>Surface Texture: </strong>Cut Pile<br /><strong>Pattern Repeat: </strong>4.25&quot; x 4.03&quot;<br /><strong>Number of Colors: </strong>5<br /><strong>Width: </strong>12&#39;8&quot;<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/ImageNotAvailable	Wool	Cut Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	47	Donnington	"This woven wool beauty comes by its eco-friendliness&mdash;naturally. It is made of 100% natural undyed wool, a renewable resource, and it is colored in four &ldquo;heathered&rdquo; shades that make you feel like you&rsquo;re coming through the glen. We&rsquo;ve even improved on this &ldquo;green&rdquo; option by adding sophisticated styling and Kara-loc woven construction to provide extraordinary performance.<br /><br /><strong>Surface Texture: </strong>Loop Pile<br /><strong>Pattern Repeat: </strong>.40&quot; W x .57&quot; L<br /><strong>Number of Colors: </strong>4<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>100% Heathered Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41565_Donnington	Wool	Berbers/Loop Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	50	El Monte	"It&rsquo;s hip to be square with this two-color plaid, which is uniquely outlined in accent stitching to give it a modern, streamlined look. Soft, hardy New Zealand wool supports this cut pile&rsquo;s trailblazing style, adding amazing comfort, long-lasting beauty, and carefree maintenance to this distinctive look.<br /><br /><br /><strong>Surface Texture: </strong>Textured Cut Piles<br /><strong>Pattern Repeat: </strong>Width .98&quot;, Length 1.42&quot;<br /><strong>Number of Colors: </strong>4<br /><strong>Width: </strong>13&#39;2&quot;<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/41539_ElMonte	Wool	Cut Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
Ambassador	51	Eloquence Classic	"One of Karastan&rsquo;s most successful signature products gets a sure-to-please makeover that includes a fashion palette of 60 luscious shades (think of all the decorating possibilities). The distinctive texture of this handsomely rugged, heavy, nubby twisted yarn provides an unbeatable combination of value and durability. New Wear-Dated DuraSoft Nylon inserted staple technology provides superior yarn twist that results in a crisp, clean finish. We&rsquo;ve added Scotchgard Protector Advanced Repel Technology for stain and soil protection.<br /><br /><strong>Surface Texture: </strong>Textured Cut Pile<br /><strong>Pattern Repeat: </strong>none<br /><strong>Number of Colors: </strong>60<br /><strong>Width: </strong>12 ft.<br /><strong>Fiber: </strong>Nylon<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/43383_EloquenceClassic	Synthetic	Cut Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Mfg. Defects</a></li><li><a href=""warranties/LifetimeLimitedAntiStatic.pdf"">Lifetime Anti-Static</a></li><li><a href=""warranties/LifetimeLimitedPetUrineStain.pdf"">Lifetime Limited Pet Urine Stain Resistance</a></li><li><a href=""warranties/25LimitedAbrasiveWear.pdf"">25 Yr. Abrasive Wear</a></li><li><a href=""warranties/25LimitedTextureRetention.pdf"">25 Yr. Texture Retention</a></li><li><a href=""warranties/25LimitedStainResistance.pdf"">25 Yr. Stain Resistance</a></li><li><a href=""warranties/25LimitedSoilResistance.pdf"">25 Yr. Soil Resistance</a></li>"
Ambassador	52	English Manor Broadloom	"Inspired by our English Manor rug collection, this timeless beauty represents one of our traditional 18th century designs. It brings the virtues of a respite in the country into your home with a rich collection of blooms and interconnected vinery on a red, navy, or ivory ground. One of our finest woven wool wall-to-wall carpets, it is crafted of 100% pure worsted New Zealand wool (one of the only fully worsted wool carpets made). It coordinates with both our English Manor rugs and runners.<br /><br /><strong>Surface Texture: </strong>Cut Pile Woven Pattern<br /><strong>Pattern Repeat: </strong>76&quot; W x 72.85&quot; L<br /><strong>Number of Colors: </strong>3<br /><strong>Width: </strong>12&#39;8&quot;<br /><strong>Fiber: </strong>Wool<br /><br />"	http://s7d5.scene7.com/is/image/Karastan/2120B_Cambridge	Wool	Cut Piles	"<li><a href=""warranties/LifetimeLimitedManufacturingDefects.pdf"">Lifetime Limited Mfg. Defects</a></li><li>Engineered for Superior Wear Resistance</li><li>Superior Soil Resistance</li>  <li>Superior Resistance to Static</li> "
